29867,630,2002-11-13,2002-11-10,11511625,621,1770
29868,760,2003-11-25,2003-11-19,11511625,662,3823
29869,160,2010-07-29,2010-08-19,11511625,614,2824
29870,420,2000-09-15,2000-08-12,11511625,476,2034
29871,870,2013-03-10,2013-03-04,11511625,570,1132
29872,440,2000-09-25,2000-08-16,11511625,239,1092
29873,40,2018-03-04,2018-02-01,11511625,216,2767
29874,340,2018-03-20,2018-02-06,11511625,355,2767
29875,300,2010-04-28,2010-05-20,11511608,420,1096
29876,170,2001-05-29,2001-05-22,11511608,9,1116
29877,320,2017-11-17,2017-11-09,11511608,562,2359
29878,330,2002-10-07,2002-11-12,11511608,937,1097
29879,50,2009-09-14,2009-10-06,11511608,188,2270
29880,680,2001-07-10,2001-06-08,11511608,758,1764
29881,540,2002-08-02,2002-08-02,11511608,700,3550
29882,310,2003-06-07,2003-05-21,11511608,155,1504
29883,980,2002-09-14,2002-08-23,11511608,562,536
29884,840,2002-09-29,2002-08-23,11511608,852,536
29885,950,2016-03-19,2016-03-04,11511608,864,2218
29886,610,2002-09-21,2002-09-19,11511608,208,12
29887,610,2021-08-09,2021-07-16,11511608,193,2219
29888,400,2015-05-08,2015-05-27,11511608,648,1087
29889,770,2019-10-05,2019-11-02,11511608,109,1088
29890,550,2014-02-05,2014-02-27,11511608,378,1769
29891,580,2020-11-30,2020-11-27,11511608,608,3504
29892,110,2021-11-09,2021-11-21,11511608,421,18
29893,820,2021-11-22,2021-10-19,11511608,609,18
29894,400,2015-06-04,2015-05-21,11511608,185,930
29895,540,2007-05-02,2007-04-14,11511608,634,1090
29896,310,2012-10-24,2012-11-09,11511608,600,4676
29897,780,2017-01-02,2017-01-28,11511608,405,2931
29898,410,2004-01-03,2003-12-24,11511608,837,1509
29899,330,2014-11-30,2014-10-20,11511608,81,1730
29900,690,2004-03-07,2004-05-01,11511608,197,24
29901,150,2014-05-27,2014-06-20,11511608,798,2766
29902,230,2020-05-11,2020-04-14,11511608,789,932
29903,800,2017-04-23,2017-05-01,11511608,761,2850
29904,210,2014-07-19,2014-07-20,11511608,270,25
29905,890,2003-09-07,2003-10-02,11511524,747,870
29906,670,2004-04-29,2004-03-28,11511524,592,3147
29907,390,2009-02-02,2009-01-02,11511524,761,937
29908,150,2019-12-11,2020-01-09,11511524,706,872
29909,910,2019-12-08,2019-11-24,11511524,288,872
29910,440,2020-07-22,2020-07-23,11511524,60,183
29911,770,2012-11-29,2012-12-19,11511524,953,185
29912,190,2015-10-14,2015-08-20,11511524,96,1375
29913,560,2010-01-17,2010-02-12,11511524,743,1732
29914,1000,2003-07-26,2003-07-11,11511524,699,4604
29915,20,2017-10-27,2017-11-03,11511524,293,1440
29916,510,2010-10-06,2010-10-13,11511524,190,4558
29917,330,2021-09-23,2021-09-14,11511524,6,1681
29918,780,2014-04-20,2014-06-07,11511524,920,192
29919,390,2013-11-16,2013-11-27,11511524,198,3712
29920,740,2004-03-24,2004-03-05,11511524,379,878
29921,690,2005-08-01,2005-07-15,11511524,338,3112
29922,610,2010-10-17,2010-09-12,11511524,536,3845
29923,220,2015-11-12,2015-10-15,11511524,758,1342
29924,870,2015-07-01,2015-06-26,11511524,749,4615
29925,860,2019-04-03,2019-05-10,11511524,411,2371
29926,280,2004-12-11,2004-11-24,11511524,880,1445
29927,490,2002-05-24,2002-05-12,11511524,431,880
29928,630,2002-06-30,2002-05-16,11511524,239,880
29929,530,2010-10-31,2010-11-02,11511524,935,951
29930,840,2003-01-23,2003-01-13,11511524,261,1413
29931,350,2002-07-30,2002-06-20,11511524,656,200
29932,770,2003-06-10,2003-05-09,11511524,337,1148
29933,280,2003-05-25,2003-06-12,11511524,811,1148
29934,340,2002-08-29,2002-09-23,11511524,636,1383
29935,1000,2001-08-03,2001-08-23,11511524,672,4060
29936,610,2018-09-25,2018-11-02,11511524,696,1151
29937,740,2011-12-08,2011-11-29,11511524,202,957
29938,80,2006-05-03,2006-03-24,11511524,407,3107
29939,440,2000-02-14,2000-04-08,11511524,283,211
29940,920,2012-05-14,2012-05-23,11511524,922,1361
29941,40,2013-01-18,2013-02-11,11511524,379,1156
29942,490,2001-12-24,2002-01-22,11511524,392,1158
29943,980,2012-08-21,2012-08-31,11511524,73,1362
29944,250,2016-07-26,2016-08-29,11511524,662,1363
29945,950,2004-07-16,2004-07-26,11511524,629,1716
29946,330,2013-12-20,2013-12-12,11511524,200,3730
29947,530,2013-11-21,2013-12-25,11511524,951,3883
29948,720,2000-03-23,2000-04-06,11511524,196,4515
29949,400,2020-11-22,2020-12-14,11511524,328,1391
29950,820,2008-10-17,2008-10-30,11511524,112,904
29951,500,2010-06-09,2010-06-09,11511524,114,3216
29952,780,2012-11-05,2012-11-05,11511524,436,224
29953,140,2014-04-19,2014-04-14,11511524,706,2844
29954,920,2008-11-08,2008-09-25,11511524,519,3633
29955,430,2003-10-31,2003-10-29,11511524,359,1163
29956,290,2002-02-07,2002-03-23,11511524,848,3156
29957,440,2004-08-15,2004-07-29,11511524,51,2051
29958,920,2012-06-22,2012-06-12,11511524,522,1330
29959,230,2012-06-30,2012-06-17,11511524,596,1330
29960,930,2002-09-10,2002-10-10,11511524,784,3157
29961,360,2011-02-20,2011-03-01,11511524,932,3512
29962,880,2010-08-08,2010-08-30,11511524,829,2968
29963,780,2015-08-10,2015-07-22,11511524,656,236
29964,860,2003-05-15,2003-05-12,11511524,761,918
29965,110,2015-03-09,2015-03-11,11511524,806,2847
29966,580,2000-11-24,2000-11-17,11511523,674,4677
29967,300,2011-06-27,2011-07-10,11511523,461,1477
29968,760,2001-05-07,2001-05-15,11511523,36,630
29969,330,2008-11-04,2008-11-10,11511523,812,570
29970,170,2012-09-21,2012-10-10,11511523,365,1483
29971,430,2019-04-12,2019-03-06,11511523,858,1500
29972,110,2020-05-30,2020-07-04,11511523,189,171
29973,300,2001-04-13,2001-05-22,11511523,775,1804
29974,900,2016-07-22,2016-07-04,11511523,868,174
29975,70,2013-02-26,2013-04-13,11511523,98,1487
29976,30,2009-07-10,2009-06-29,11511523,212,4678
29977,140,2016-08-23,2016-09-15,11511513,216,933
29978,700,2016-09-12,2016-09-15,11511513,547,933
29979,1000,2001-07-07,2001-06-11,11511513,48,1677
29980,250,2007-07-22,2007-08-12,11511513,914,1697
29981,210,2010-06-07,2010-06-03,11511513,926,3097
29982,160,2009-01-29,2009-01-02,11511513,858,937
29983,890,2003-06-13,2003-06-13,11511513,245,1403
29984,480,2007-06-23,2007-06-24,11511513,903,3908
29985,570,2011-04-19,2011-03-31,11511513,658,1778
29986,410,2018-03-01,2018-01-23,11511513,86,1404
29987,730,2012-12-08,2013-01-10,11511513,812,185
29988,630,2021-12-29,2021-12-19,11511513,650,1439
29989,250,2016-11-04,2016-11-06,11511513,103,938
29990,430,2001-01-01,2001-01-01,11511513,955,1294
29991,410,2010-03-03,2010-03-05,11511513,576,1732
29992,930,2006-05-20,2006-05-14,11511513,265,1376
29993,870,2004-05-23,2004-06-05,11511513,146,1753
